Path object_type object_name object_size parent_directory
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\ba" File c2ccc929b67fb095e9e92b1bb3dca993a193c6 544 ba
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c0" File e853646ecb839b696a90cf4d06e97117048b00 1305 c0
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c1" File 63eb6c822fe00121106a6e3677e8dcf0a973f7 108 c1
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c3" File ae3e9b952b7d8c2da7aa762cb1a72de1d9ae1f 1700 c3
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c5" File 4895c833392b9797e29ef4a5cd0b6607d8ad9a 1109 c5
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c6" File 4da5f56ff4be56b5be8891fd450fa2d1cf5630 103 c6
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c7" File b9b1cb505b6a3354aab3167094ec009c26959a 77 c7
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c8" File cf8b44ce4eab5a214abeb22186672a81f6a3d8 107 c8
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\ca" File 7cf0fcd1b423d184c68ac5192db17fa58e9faa 127 ca
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\cc" File a21f9bca9c226344304d03791a2d85b7d134cb 1074 cc
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\cd" File 62a4aebdb07a17e11a403cfe33f16ea79c3d53 827 cd
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\cf" File 496142fd44220c0abf228fcd4e9572f42f42ea 1929 cf
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\d0" File d95d8c43592bcc63b7d74f6cded4635169a3f8 1267 d0
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\d1" File adb2ba009d2702436d64cb175f11b63e8da338 728 d1
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\d4" File b3ba8f69664076980fd0c2e79fe6c3c9797be8 653 d4
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\d8" File 426aefe46da7bbc1e28c7f6035c6798bd66039 152 d8
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\da" File c8c7b67d0a4b17a842a00618fc64fc44d10f03 52 da
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\dc" File c1b630ec2ba0a001759ad35dc2dbf395e959f0 727 dc
