object_name,path,object_size,object_type,parent_directory
b8de37a2acdc267b8636a8f51876094880c66e,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\30,156,file,30
c21276295cc13e403fc845441cec18969c64cf,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\34,107,file,34
10e3cebc9cddc864ca85e47a149012a768f298,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\35,70,file,35
248355bf8bcc49c7104392317629f9bfabd95b,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\35,1538,file,35
a68eadf441b06aa61d20d54498ac4bd93a64d7,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\37,145,file,37
3bd3c9500497c61de2c020d4c258bad66e5706,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\3a,97,file,3a
a2104ac5c22693bd43217b857d13c0b1c69cf1,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\46,87,file,46
74f69b06648c7bfab2d5b173afeea6e9117654,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\47,3125,file,47
391994da9cde4eae0a9a200ba4b9343885311a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\4a,800,file,4a
2c99f78ac9d918fc1bda94c77b69b598acfa61,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\4c,3646,file,4c
31db7fe2c56168e3290224267c4b0451ee4e68,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\4c,195,file,4c
2c1dd8b26e1124f5c8d630faa3f272f28c7f4b,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\50,3592,file,50
770277889501f227698e166b09b8de5d4cb556,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\50,107,file,50
0959cc82e5b274aac403397c24a9ba28ad5c2d,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\52,1633,file,52
4d77432fc605a9cb78e732e12c0865e2301e6b,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\52,2518,file,52
ab54e03f67bf1c0e89df8e5e5a75c8c5cb92a3,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\52,153,file,52
04324659aa14489be821962adf7c62a3914566,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\54,80,file,54
1cc7826a8f0caf8103b59bf5491d9b34f8f139,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\56,133,file,56
2bac52cbede79f285f16fb3f4021c6cbe54aa2,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\56,3021,file,56
42d764fdf1651f42da0366c4a7a775fd749b2c,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\5b,403,file,5b
9c2b0c4154ccc8c71673639986bea23a669a3a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\5b,91,file,5b
f11704ad7af2bb84621f1521865e0cb2896c44,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\5e,1334,file,5e
cdbd88d91a540703ea82eb57e652b2c06debeb,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\64,537,file,64
79bf97bcd426d840c6693827685508cb61556c,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\67,120,file,67
3da79c67948150a4888d5e1ea5f4b60751569c,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\6b,638,file,6b
28ac8eac8fba527b8fef1359cdd9a8364d25b7,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\6e,1643,file,6e
